date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-12-01,10,4,0.0,8.2,2,11,06:14 AM,03:47 PM,08:25 AM,04:41 PM,5,5,6,5,13,37,90,0.0,1031,10,9,240,7,aalst
2013-12-02,8,3,0.0,6.8,2,4,07:28 AM,04:33 PM,08:26 AM,04:40 PM,4,3,5,3,19,32,92,0.2,1033,8,5,61,11,aalst
2013-12-03,6,0,0.0,8.1,2,3,08:37 AM,05:31 PM,08:27 AM,04:40 PM,1,1,2,1,11,22,89,0.0,1029,6,9,178,6,aalst
2013-12-04,7,0,0.0,3.0,1,10,09:38 AM,06:37 PM,08:28 AM,04:39 PM,3,1,4,1,22,62,93,1.5,1027,7,6,253,12,aalst
2013-12-05,7,1,0.0,4.9,1,17,10:29 AM,07:52 PM,08:30 AM,04:39 PM,2,-0,4,-0,38,43,87,3.0,1023,7,10,251,21,aalst
2013-12-06,6,3,0.0,4.9,1,23,11:11 AM,09:09 PM,08:31 AM,04:38 PM,-0,-1,4,-1,31,64,74,0.4,1024,6,10,282,18,aalst
2013-12-07,8,3,0.0,4.9,2,30,11:46 AM,10:27 PM,08:32 AM,04:38 PM,4,2,5,2,24,75,90,0.4,1027,8,9,238,14,aalst
2013-12-08,9,5,0.0,3.0,2,37,12:15 PM,11:43 PM,08:33 AM,04:38 PM,5,3,7,3,30,62,91,0.0,1026,9,10,230,18,aalst
2013-12-09,8,4,0.0,8.0,3,44,12:42 PM,No moonset,08:34 AM,04:38 PM,4,2,6,2,28,52,87,0.0,1030,8,10,223,16,aalst
2013-12-10,7,2,0.0,8.0,2,50,01:07 PM,12:57 AM,08:35 AM,04:37 PM,0,1,4,1,21,13,80,0.0,1033,7,10,187,11,aalst
2013-12-11,8,3,0.0,8.0,3,57,01:32 PM,02:08 AM,08:36 AM,04:37 PM,2,2,4,2,19,0,86,0.0,1032,8,10,169,10,aalst
2013-12-12,4,-0,0.0,4.9,1,64,01:59 PM,03:18 AM,08:37 AM,04:37 PM,-4,-3,1,-3,26,33,70,0.0,1028,4,10,184,14,aalst
2013-12-13,4,-0,0.0,8.0,2,71,02:28 PM,04:26 AM,08:38 AM,04:37 PM,-2,-3,1,-3,27,15,81,0.0,1024,4,10,190,14,aalst
2013-12-14,7,2,0.0,8.0,1,77,03:01 PM,05:31 AM,08:39 AM,04:37 PM,2,0,4,0,32,46,89,5.7,1026,7,10,217,17,aalst
2013-12-15,6,4,0.0,4.9,2,84,03:39 PM,06:32 AM,08:40 AM,04:38 PM,1,0,5,0,39,55,79,0.4,1026,6,8,197,23,aalst
2013-12-16,7,4,0.0,8.0,3,91,04:22 PM,07:29 AM,08:41 AM,04:38 PM,2,1,5,1,41,16,77,0.0,1023,7,10,194,23,aalst
2013-12-17,7,5,0.0,3.0,2,98,05:12 PM,08:19 AM,08:42 AM,04:38 PM,4,3,6,3,26,57,89,0.2,1023,7,10,193,14,aalst
2013-12-18,8,5,0.0,6.8,2,95,06:06 PM,09:03 AM,08:42 AM,04:38 PM,5,3,7,3,35,51,91,0.0,1016,8,10,186,21,aalst
2013-12-19,8,4,0.0,8.0,2,89,07:04 PM,09:40 AM,08:43 AM,04:39 PM,6,3,7,3,32,49,91,12.8,1005,8,8,205,19,aalst
2013-12-20,7,3,0.0,8.0,2,82,08:05 PM,10:12 AM,08:44 AM,04:39 PM,2,0,4,0,33,24,89,0.0,1022,7,10,212,18,aalst
2013-12-21,6,3,0.0,8.0,1,75,09:07 PM,10:40 AM,08:44 AM,04:40 PM,1,-1,4,-1,48,48,80,0.3,1022,6,9,195,29,aalst
2013-12-22,9,4,0.0,3.0,2,68,10:10 PM,11:05 AM,08:45 AM,04:40 PM,5,2,6,2,43,85,90,4.3,1014,9,10,209,27,aalst
2013-12-23,8,4,0.0,3.0,2,62,11:14 PM,11:29 AM,08:45 AM,04:41 PM,5,2,7,2,47,69,90,2.1,1010,8,9,197,28,aalst
2013-12-24,10,7,0.0,3.0,2,55,No moonrise,11:51 AM,08:46 AM,04:41 PM,7,5,9,5,54,87,88,22.4,989,10,7,191,34,aalst
2013-12-25,7,4,0.0,8.0,2,48,12:19 AM,12:13 PM,08:46 AM,04:42 PM,5,3,6,3,27,51,89,7.8,989,7,9,192,17,aalst
2013-12-26,7,3,0.0,3.0,1,41,01:27 AM,12:38 PM,08:46 AM,04:43 PM,3,1,4,1,21,64,93,0.1,997,7,6,212,12,aalst
2013-12-27,9,3,0.0,3.0,2,34,02:36 AM,01:06 PM,08:46 AM,04:43 PM,5,2,6,2,46,87,92,11.3,996,9,8,189,28,aalst
2013-12-28,6,4,0.0,4.9,2,28,03:48 AM,01:39 PM,08:47 AM,04:44 PM,5,3,6,3,20,76,96,14.7,999,6,8,219,12,aalst
2013-12-29,6,2,0.0,8.0,1,21,05:01 AM,02:20 PM,08:47 AM,04:45 PM,2,-0,3,-0,26,36,93,0.0,1015,6,10,223,15,aalst
2013-12-30,6,2,0.0,3.0,1,14,06:12 AM,03:10 PM,08:47 AM,04:46 PM,2,-2,3,-2,42,60,89,1.3,1020,6,9,185,25,aalst
2013-12-31,6,3,0.0,4.9,1,7,07:18 AM,04:11 PM,08:47 AM,04:47 PM,2,-0,4,-0,39,64,84,3.2,1012,6,10,171,23,aalst
